#direkt 	 verbessert 	 relativer Fehler 
2.18105e-10	1.70489e-10	0.279289
2.18105e-10	1.71426e-10	0.272298
2.18105e-10	1.72362e-10	0.265384
2.18105e-10	1.73299e-10	0.258544
2.18105e-10	1.74236e-10	0.251777
2.18105e-10	1.75173e-10	0.245083
2.18105e-10	1.76109e-10	0.23846
2.18105e-10	1.77046e-10	0.231908
2.18105e-10	1.77983e-10	0.225424
2.18105e-10	1.7892e-10	0.219008
2.18105e-10	1.79856e-10	0.212659
2.18105e-10	1.80793e-10	0.206376
2.18105e-10	1.8173e-10	0.200158
2.18105e-10	1.82667e-10	0.194003
2.18105e-10	1.83603e-10	0.187911
2.18105e-10	1.8454e-10	0.181881
2.18105e-10	1.85477e-10	0.175912
2.18105e-10	1.86414e-10	0.170003
2.18105e-10	1.8735e-10	0.164153
2.18105e-10	1.88287e-10	0.158361
2.18105e-10	1.89224e-10	0.152627
2.18105e-10	1.90161e-10	0.146949
2.18105e-10	1.91097e-10	0.141326
2.18105e-10	1.92034e-10	0.135759
2.18105e-10	1.92971e-10	0.130245
2.18105e-10	1.93908e-10	0.124785
2.18105e-10	1.94844e-10	0.119378
2.18105e-10	1.95781e-10	0.114022
2.18105e-10	1.96718e-10	0.108717
2.18105e-10	1.97655e-10	0.103462
2.18105e-10	1.98591e-10	0.0982574
2.18105e-10	1.99528e-10	0.0931013
2.18105e-10	2.00465e-10	0.0879933
2.18105e-10	2.01402e-10	0.0829329
2.18105e-10	2.02338e-10	0.0779193
2.18105e-10	2.03275e-10	0.0729519
2.18105e-10	2.04212e-10	0.0680302
2.18105e-10	2.05149e-10	0.0631533
2.18105e-10	2.06085e-10	0.0583208
2.18105e-10	2.07022e-10	0.053532
2.18105e-10	2.07959e-10	0.0487864
2.18105e-10	2.08896e-10	0.0440833
2.18105e-10	2.09832e-10	0.0394222
2.18105e-10	2.10769e-10	0.0348025
2.18105e-10	2.11706e-10	0.0302238
2.18105e-10	2.12643e-10	0.0256853
2.18105e-10	2.13579e-10	0.0211867
2.18105e-10	2.14516e-10	0.0167274
2.18105e-10	2.15453e-10	0.0123068
2.18105e-10	2.1639e-10	0.00792456
2.18105e-10	2.17326e-10	0.00358006
2.18105e-10	2.18263e-10	0.000727155
2.18105e-10	2.192e-10	0.00499755
2.18105e-10	2.20137e-10	0.00923161
2.18105e-10	2.21074e-10	0.0134298
2.18105e-10	2.2201e-10	0.0175925
2.18105e-10	2.22947e-10	0.0217203
2.18105e-10	2.23884e-10	0.0258135
2.18105e-10	2.24821e-10	0.0298726
2.18105e-10	2.25757e-10	0.033898
2.18105e-10	2.26694e-10	0.0378902
2.18105e-10	2.27631e-10	0.0418495
2.18105e-10	2.28568e-10	0.0457763
2.18105e-10	2.29504e-10	0.0496711
2.18105e-10	2.30441e-10	0.0535343
2.18105e-10	2.31378e-10	0.0573661
2.18105e-10	2.32315e-10	0.061167
2.18105e-10	2.33251e-10	0.0649375
2.18105e-10	2.34188e-10	0.0686777
2.18105e-10	2.35125e-10	0.0723882
2.18105e-10	2.36062e-10	0.0760692
2.18105e-10	2.36998e-10	0.0797211
2.18105e-10	2.37935e-10	0.0833442
2.18105e-10	2.38872e-10	0.0869389
2.18105e-10	2.39809e-10	0.0905056
2.18105e-10	2.40745e-10	0.0940445
2.18105e-10	2.41682e-10	0.0975559
2.18105e-10	2.42619e-10	0.10104
2.18105e-10	2.43556e-10	0.104498
2.18105e-10	2.44492e-10	0.107929
2.18105e-10	2.45429e-10	0.111334
2.18105e-10	2.46366e-10	0.114713
2.18105e-10	2.47303e-10	0.118066
2.18105e-10	2.48239e-10	0.121394
2.18105e-10	2.49176e-10	0.124697
2.18105e-10	2.50113e-10	0.127975
2.18105e-10	2.5105e-10	0.131229
2.18105e-10	2.51986e-10	0.134459
2.18105e-10	2.52923e-10	0.137665
2.18105e-10	2.5386e-10	0.140847
2.18105e-10	2.54797e-10	0.144005
2.18105e-10	2.55733e-10	0.147141
2.18105e-10	2.5667e-10	0.150253
2.18105e-10	2.57607e-10	0.153343
2.18105e-10	2.58544e-10	0.156411
2.18105e-10	2.5948e-10	0.159456
2.18105e-10	2.60417e-10	0.16248
2.18105e-10	2.61354e-10	0.165482
2.18105e-10	2.62291e-10	0.168462
2.18105e-10	2.63227e-10	0.171421
2.18105e-10	2.64164e-10	0.17436
2.18105e-10	2.65101e-10	0.177277
2.18105e-10	2.66038e-10	0.180174
2.18105e-10	2.66974e-10	0.183051
2.18105e-10	2.67911e-10	0.185907
2.18105e-10	2.68848e-10	0.188744
2.18105e-10	2.69785e-10	0.191561
2.18105e-10	2.70721e-10	0.194358
2.18105e-10	2.71658e-10	0.197136
2.18105e-10	2.72595e-10	0.199895
3.27157e-10	2.73532e-10	0.196048
3.27157e-10	2.74468e-10	0.191966
3.27157e-10	2.75405e-10	0.187911
3.27157e-10	2.76342e-10	0.183884
3.27157e-10	2.77279e-10	0.179885
3.27157e-10	2.78215e-10	0.175912
3.27157e-10	2.79152e-10	0.171966
3.27157e-10	2.80089e-10	0.168047
3.27157e-10	2.81026e-10	0.164153
